"Nr","Datum","Jahr","Land","Stadt","Umsatz","Kosten","Rücksendung","Bereich","Produktgruppe","Logistik-Code","Kunde"
"1","1/1/2025","2025","Südkorea","Seoul","5534.55","4427.64","","Bereich-5","prd-3","6-43647-1","C-85"
"2","1/2/2025","2025","Südkorea","Seoul","6284.70","7164.56","","Bereich-5","prd-1","2-43647-1","C-107"
"3","1/3/2025","2025","Vereinigtes Königreich","London","5437.65","6198.92","","Bereich-1","prd-56","7-43647-1","C-141"
"4","1/4/2025","2025","China","Peking","8587.20","5152.32","","Bereich-2","prd-92","4-43647-1","C-124"
"5","1/5/2025","2025","USA","Los Angeles","9439.05","10382.95","","Bereich-2","prd-85","1-43647-1","C-76"
"6","1/6/2025","2025","USA","Los Angeles","5506.35","4405.08","","Bereich-4","prd-35","1-43647-1","C-76"
"7","1/7/2025","2025","Südkorea","Seoul","6589.80","7248.78","","Bereich-1","prd-59","2-43648-1","C-107"
"8","1/8/2025","2025","USA","Los Angeles","6166.05","6782.66","","Bereich-3","prd-77","1-43648-1","C-76"
"9","1/9/2025","2025","Südkorea","Seoul","10650.60","8520.48","","Bereich-2","prd-80","5-43647-1","C-65"
"10","1/10/2025","2025","USA","Los Angeles","8602.05","6881.64","","Bereich-5","prd-11","1-43648-1","C-76"
"11","1/11/2025","2025","USA","Los Angeles","5246.40","3147.84","1","Bereich-2","prd-97","1-43649-1","C-76"
"12","1/12/2025","2025","China","Peking","6857.40","4114.44","","Bereich-1","prd-56","4-43648-1","C-124"
"13","1/13/2025","2025","Deutschland","Berlin","7771.50","4662.90","","Bereich-1","prd-55","3-43647-1","C-65"
"14","1/14/2025","2025","Südkorea","Seoul","6337.65","5070.12","","Bereich-3","prd-76","5-43647-1","C-65"
"15","1/15/2025","2025","Deutschland","Berlin","8289.75","6631.80","","Bereich-1","prd-51","3-43648-1","C-65"
"16","1/16/2025","2025","Südkorea","Seoul","10390.50","8312.40","1","Bereich-3","prd-60","5-43648-1","C-65"
"17","1/17/2025","2025","Südkorea","Seoul","7198.20","5758.56","","Bereich-5","prd-7","2-43649-1","C-107"
"18","1/18/2025","2025","Südkorea","Seoul","7931.70","6345.36","","Bereich-5","prd-13","5-43648-1","C-65"
"19","1/19/2025","2025","China","Peking","3970.95","3176.76","","Bereich-4","prd-27","4-43649-1","C-124"
"20","1/20/2025","2025","USA","Los Angeles","9539.10","7631.28","","Bereich-5","prd-19","1-43650-1","C-76"
"21","1/21/2025","2025","Südkorea","Seoul","6535.20","5228.16","","Bereich-2","prd-92","2-43650-1","C-107"
"22","1/22/2025","2025","Deutschland","Berlin","4127.10","3301.68","1","Bereich-2","prd-99","3-43649-1","C-65"
"23","1/23/2025","2025","Deutschland","Berlin","9112.95","7290.36","","Bereich-1","prd-56","3-43650-1","C-65"
"24","1/24/2025","2025","Südkorea","Seoul","5137.65","5651.41","","Bereich-1","prd-54","2-43651-1","C-107"
"25","1/25/2025","2025","Südkorea","Seoul","6381.75","7019.93","","Bereich-2","prd-83","6-43648-1","C-85"
"26","1/26/2025","2025","Deutschland","Berlin","7612.05","8373.26","","Bereich-2","prd-80","3-43651-1","C-65"
"27","1/27/2025","2025","USA","Los Angeles","7007.85","7708.64","","Bereich-3","prd-68","12-43647-1","C-53"
"28","1/28/2025","2025","Mexiko","Oaxaca","7071.60","7778.76","","Bereich-2","prd-98","9-43647-1","C-117"
"29","1/29/2025","2025","Deutschland","Berlin","7543.65","8298.02","","Bereich-2","prd-87","3-43652-1","C-65"
"30","1/30/2025","2025","Südkorea","Seoul","5849.70","3509.82","","Bereich-3","prd-75","2-43652-1","C-107"
"31","1/31/2025","2025","China","Peking","4834.80","2900.88","","Bereich-5","prd-3","4-43650-1","C-124"
"32","2/1/2025","2025","Deutschland","Berlin","6253.65","3752.19","","Bereich-2","prd-91","3-43653-1","C-65"
"33","2/2/2025","2025","USA","Los Angeles","5889.60","3533.76","","Bereich-3","prd-69","12-43648-1","C-53"
"34","2/3/2025","2025","Südkorea","Seoul","4778.10","2866.86","1","Bereich-5","prd-19","6-43649-1","C-85"
"35","2/4/2025","2025","China","Peking","7172.70","4303.62","","Bereich-1","prd-58","11-43647-1","C-137"
"36","2/5/2025","2025","Südkorea","Seoul","5153.40","3092.04","","Bereich-1","prd-52","2-43653-1","C-107"
"37","2/6/2025","2025","Mexiko","Oaxaca","4595.25","2757.15","","Bereich-2","prd-84","8-43647-1","C-109"
"38","2/7/2025","2025","China","Peking","6168.90","3701.34","","Bereich-4","prd-25","4-43651-1","C-124"
"39","2/8/2025","2025","Mexiko","Oaxaca","4276.35","2565.81","","Bereich-1","prd-51","9-43648-1","C-117"
"40","2/9/2025","2025","Südkorea","Seoul","4943.55","3954.84","","Bereich-2","prd-91","6-43650-1","C-85"
"41","2/10/2025","2025","Südkorea","Busan","5840.25","4672.20","","Bereich-1","prd-46","2-43654-1","C-107"
"42","2/11/2025","2025","Deutschland","Berlin","9094.05","7275.24","1","Bereich-1","prd-46","3-43654-1","C-65"
"43","2/12/2025","2025","USA","Las Vegas","8994.30","7195.44","","Bereich-4","prd-37","1-43651-1","C-76"
"44","2/13/2025","2025","USA","Las Vegas","6670.35","5336.28","","Bereich-3","prd-72","1-43652-1","C-76"
"45","2/14/2025","2025","Vereinigtes Königreich","London","8422.65","6738.12","","Bereich-5","prd-16","10-43647-1","C-115"
"46","2/15/2025","2025","Mexiko","Oaxaca","6861.60","5489.28","","Bereich-3","prd-60","9-43649-1","C-117"
"47","2/16/2025","2025","Südkorea","Busan","8130.00","6504.00","","Bereich-1","prd-42","5-43649-1","C-65"
"48","2/17/2025","2025","China","Shanghai","5532.30","4425.84","","Bereich-5","prd-6","4-43652-1","C-124"
"49","2/18/2025","2025","Deutschland","Berlin","6716.55","5373.24","1","Bereich-4","prd-28","3-43655-1","C-65"
"50","2/19/2025","2025","USA","Las Vegas","9042.30","7233.84","","Bereich-5","prd-16","1-43653-1","C-76"
